sitc,x,y,cluster,sitc_name,n_prod,cluster_cl
0360,22.464727,4.885517,6.0,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",8.0,1.0
0371,21.107813,5.1437545,7.0,"Fish, prepared or preserved, nes",2.0,1.0
0372,21.247871,4.7751026,7.0,"Crustaceans and molluscs, prepared or prepared, nes",2.0,1.0
0411,15.441826,-3.6593153,8.0,"Durum wheat, unmilled",9.0,0.0
0412,15.749946,-3.1810749,8.0,"Other wheat and meslin, unmilled",9.0,0.0
0421,9.772269,4.6247716,9.0,"Rice in the husk or husked, but not farther prepared",2.0,2.0
0422,10.022121,4.2170405,9.0,"Rice, semi-milled or wholly milled",2.0,2.0
0430,15.091038,-3.778284,8.0,"Barley, unmilled",9.0,0.0
0440,9.18778,4.844612,10.0,"Maize, unmilled",6.0,2.0
0451,15.400091,-3.3040082,8.0,"Rye, unmilled",9.0,0.0
0452,15.010245,-3.4474916,8.0,"Oats, unmilled",9.0,0.0
0459,9.289699,4.5012636,10.0,"Buckwheat, millet, etc, and other cereals, unmilled, nes",6.0,2.0
0460,10.418914,4.453737,11.0,Meal and flour of wheat and flour of meslin,5.0,2.0
0470,10.130174,5.172994,11.0,Other cereal meals and flour,5.0,2.0
0481,9.945857,4.893338,11.0,"Cereal grains, worked or prepared, not elsewhere specified",5.0,2.0
0482,15.48288,-2.8478978,8.0,"Malt, roasted or not, including flour",9.0,0.0
0483,6.287427,-7.185559,113.0,"Macaroni, spaghetti and similar products",18.0,14.0
0484,7.9303536,-7.368777,52.0,Bakery products,17.0,14.0
0488,17.18882,-4.654819,4.0,Malt extract; cereals preparations with less 50% of cocoa,10.0,0.0
0541,9.580526,1.8700017,12.0,"Potatoes, fresh or chilled, excluding sweet potatoes",15.0,3.0
0542,8.820024,4.7939625,10.0,"Beans, peas, other leguminous vegetables, dried, shelled",6.0,2.0
0544,9.557691,1.5853688,12.0,"Tomatoes, fresh or chilled",15.0,3.0
0545,11.43904,2.4074,14.0,Other fresh or chilled vegetables,5.0,3.0
0546,10.120906,1.3207853,12.0,"Vegetables, frozen or in temporary preservative",15.0,3.0
0548,9.182123,1.5489962,12.0,"Vegetable products roots and tubers, nes, fresh, dried",15.0,3.0
0561,9.873582,1.5845538,12.0,"Vegetables (excluding leguminous), dried, evaporated, etc",15.0,3.0
0564,10.448688,5.0226016,11.0,"Flour, meals and flakes of potatoes, fruit and vegetables, nes",5.0,2.0
0565,9.823743,1.1562577,12.0,"Vegetables, prepared or preserved, nes",15.0,3.0
0571,10.494097,2.789743,13.0,"Oranges, mandarins, etc, fresh or dried",2.0,3.0
0572,10.238291,2.685675,13.0,"Other citrus fruits, fresh or dried",2.0,3.0
0573,11.486779,1.8770249,14.0,"Banana, plantain, fresh or dried",5.0,3.0
0574,10.456902,1.2493896,12.0,"Apples, fresh",15.0,3.0
0575,11.139075,2.067586,14.0,"Grapes, fresh or dried",5.0,3.0
0576,10.202125,1.580488,12.0,"Figs, fresh or dried",15.0,3.0
0577,11.046115,2.4144936,14.0,"Nuts edible, fresh or dried",5.0,3.0
0579,11.104831,1.6754977,14.0,"Fruit, fresh or dried, nes",5.0,3.0
0582,9.756202,5.2881665,11.0,"Fruit, fruit-peel and parts of plants, preserved by sugar",5.0,2.0
0583,10.133575,0.9654046,12.0,"Jams, jellies, marmalades, etc, as cooked preparations",15.0,3.0
0585,10.026635,0.6370693,12.0,Fruit or vegetable juices,15.0,3.0
0586,9.551301,1.2358572,12.0,"Fruit, temporarily preserved",15.0,3.0
0589,9.581694,0.76371837,12.0,"Fruit prepared or preserved, nes",15.0,3.0
0611,19.09604,6.497919,15.0,"Sugars, beet and cane, raw, solid",4.0,4.0
0612,18.65484,6.001061,15.0,Refined sugar etc,4.0,4.0
0615,18.621372,6.3724914,15.0,Molasses,4.0,4.0
0616,10.581427,0.9167385,12.0,Natural honey,15.0,3.0
0619,7.4198256,-6.356692,64.0,Sugars and syrups nes; artificial honey; caramel,10.0,14.0
0620,8.224383,-7.130939,52.0,"Sugar confectionery and preparations, non-chocolate",17.0,14.0
0711,19.08319,6.1167684,15.0,"Coffee green, roasted; coffee substitutes containing coffee",4.0,4.0
0712,-0.10358405,10.428234,58.0,"Coffee extracts, essences or concentrates",6.0,10.0
0721,16.583433,6.8718934,16.0,"Cocoa beans, raw, roasted",3.0,9.0
0722,16.249754,7.3884735,16.0,"Cocoa powder, unsweetened",3.0,9.0
0723,16.332157,7.099867,16.0,Cocoa butter and paste,3.0,9.0
0730,7.354351,-6.575846,64.0,"Chocolate and other preparations containing cocoa, nes",10.0,14.0
0741,18.534042,5.648718,17.0,Tea,7.0,4.0
0742,16.994831,-5.0395527,4.0,Mate,10.0,0.0
0751,18.981392,4.993069,17.0,"Pepper of ""piper""; pimento of ""capsicum or pimenta""",7.0,4.0
0752,19.299587,4.705814,17.0,"Spices, except pepper and pimento",7.0,4.0
0811,16.22422,-3.7292032,18.0,"Hay and fodder, green or dry",3.0,0.0
0812,9.130256,4.1813083,10.0,"Bran, sharps and other residues derives of cereals",6.0,2.0
0813,8.621795,4.213466,44.0,Oilcake and other residues (except dregs),10.0,2.0
0814,22.067413,5.836946,6.0,"Flours and meals, of meat, fish,etc, unfit for human; greaves",8.0,1.0
0819,16.009607,-3.583505,18.0,"Food waste and prepared animal feed, nes",3.0,0.0
0913,16.469992,-2.9852664,2.0,"Lard, pig and poultry fat, rendered or solvent-extracted",6.0,0.0
0914,7.289314,-7.023593,52.0,"Margarine, imitation lard and other prepared edible fats, nes",17.0,14.0
0980,7.735782,-6.861333,52.0,"Edible products and preparations, nes",17.0,14.0
1,21.296684,5.4564233,,,,
10,9.386549,4.105693,,,,
100,1.74214,2.3828423,,,,
101,5.6896806,6.483424,,,,
102,-0.10717006,2.0620074,,,,
103,0.52085596,1.5574671,,,,
104,1.5154892,1.7858785,,,,
105,2.0395281,1.9814162,,,,
106,8.930021,-5.174669,,,,
107,9.433049,-4.7021565,,,,
108,11.825606,4.9770937,,,,
109,12.687874,4.7698503,,,,
11,10.103362,4.570376,,,,
110,1.8143431,0.8342788,,,,
111,9.061034,7.8868933,,,,
1110,8.28788,-7.499507,52.0,"Non-alcoholic beverages, nes",17.0,14.0
112,1.539867,1.4463506,,,,
1121,9.212738,1.0768749,12.0,Wine of fresh grapes etc,15.0,3.0
1122,1.6608953,10.946563,94.0,"Other fermented beverages, nes (cider, perry, mead, etc)",30.0,10.0
1123,7.8094463,-7.6023884,52.0,"Beer made from malt (including ale, stout and porter)",17.0,14.0
1124,8.225079,-7.864967,52.0,"Distilled alcoholic beverages, nes",17.0,14.0
113,6.6259937,-6.549345,,,,
114,9.55384,8.381558,,,,
115,9.443679,7.8223205,,,,
12,9.994044,1.8738899,,,,
1211,10.745276,1.7340415,19.0,"Tobacco, not stripped",3.0,3.0
1212,10.413998,1.7177166,19.0,"Tobacco, wholly or partly stripped",3.0,3.0
1213,10.996672,1.301282,19.0,Tobacco refuse,3.0,3.0
1221,9.735949,3.188027,39.0,"Cigars, cheroots: cigarillos",4.0,3.0
1222,7.8131895,-6.6420097,52.0,Cigarettes,17.0,14.0
1223,2.0607338,10.708324,94.0,"Tobacco, manufactured; tobacco extract and essences",30.0,10.0
13,10.272522,2.428704,,,,
14,10.840583,2.0613115,,,,
15,18.9843,5.761054,,,,
16,16.848522,6.99358,,,,
17,19.263763,5.4348288,,,,
18,16.512508,-3.8000286,,,,
19,10.303334,1.9810432,,,,
2,16.180315,-3.3636992,,,,
20,13.217609,1.833635,,,,
21,13.418389,1.3960284,,,,
2111,13.589968,1.8795196,20.0,"Bovine and equine hides, raw, whether or not split",4.0,5.0
2112,13.198356,2.2808573,20.0,"Calf skins, raw, whether or not split",4.0,5.0
2114,13.181302,0.885305,21.0,"Goat and kid skins, raw, whether or not split",3.0,5.0
2116,14.040132,1.9790994,32.0,"Sheep and lamb skin with the wool on, raw, whether or not split",3.0,5.0
2117,14.176732,0.870605,60.0,"Sheep and lamb skin without the wool, raw, whether or not split",4.0,5.0
2119,12.768747,1.2118616,21.0,"Hides and skins, nes; waste and used leather",3.0,5.0
2120,9.016119,4.487054,10.0,"Furskins, raw",6.0,2.0
22,17.0895,7.3368163,,,,
2221,9.858414,3.766643,28.0,"Groundnuts, green",5.0,2.0
2222,8.408088,4.6830225,44.0,Soya beans,10.0,2.0
2223,9.892142,3.4854975,28.0,Cotton seeds,5.0,2.0
2224,15.683557,-3.8132994,8.0,Sunflower seeds,9.0,0.0
2225,8.541832,5.092312,10.0,Sesame seeds,6.0,2.0
2226,15.136228,-4.1177506,8.0,Rape and colza seeds,9.0,0.0
2231,16.907982,7.6339345,22.0,Copra,2.0,9.0
2232,9.171111,5.4663606,23.0,Palm nuts and kernels,3.0,2.0
2234,15.057135,-3.0346296,8.0,Linseed,9.0,0.0
2235,8.975454,5.1380677,23.0,Castor oil seeds,3.0,2.0
2238,9.439488,5.1778593,23.0,"Oil seeds and oleaginous fruits, nes",3.0,2.0
2239,8.878218,4.0372963,44.0,"Flour or meals of oil seeds or oleaginous fruit, non-defatted",10.0,2.0
23,9.513287,4.8723264,,,,
2320,16.684437,6.54693,45.0,Natural rubber latex; natural rubber and gums,3.0,9.0
2331,-3.2180018,2.7321296,102.0,"Synthetic rubber, latex; factice derived from oils",14.0,15.0
2332,9.427127,-6.263369,88.0,"Reclaimed rubber, waste, scrap of unhardened rubber",21.0,14.0
24,10.878171,2.8269057,,,,
2440,10.904762,3.270923,24.0,"Cork, natural, raw and waste",2.0,3.0
2450,9.654673,-5.282871,107.0,Fuel wood and wood charcoal,12.0,14.0
2460,15.982857,7.0805564,25.0,Pulpwood (including chips and wood waste),5.0,11.0
2471,15.402331,7.486062,25.0,"Sawlogs and veneer logs, of coniferous species",5.0,11.0
2472,15.774837,7.3189864,25.0,"Sawlogs and veneer logs, of non-coniferous species",5.0,11.0
2479,15.500182,7.0377955,25.0,"Pitprops, poles, piling, post and other wood in the rough, nes",5.0,11.0
2481,15.800476,6.3503094,63.0,Railway or tramway sleepers (ties) of wood,6.0,11.0
2482,15.847183,6.068163,63.0,"Wood of coniferous species, sawn, planed, tongued, grooved, etc",6.0,11.0
2483,15.142365,6.972653,25.0,"Wood, non-coniferous species, sawn, planed, tongued, grooved, etc",5.0,11.0
25,15.863749,6.8251557,,,,
2511,17.020441,-4.4382734,4.0,"Waste paper and paperboard, etc",10.0,0.0
2512,15.420825,6.1468368,26.0,Mechanical wood pulp,6.0,11.0
2516,14.950393,6.0722747,26.0,"Chemical wood pulp, dissolving grades",6.0,11.0
2517,14.780401,6.676872,26.0,"Chemical wood pulp, soda or sulphate",6.0,11.0
2518,15.358417,5.774685,26.0,"Chemical wood pulp, sulphite",6.0,11.0
2519,15.39024,6.5434475,26.0,Other cellulosic pulps,6.0,11.0
26,15.6152725,6.6657834,,,,
2613,19.383617,5.9646,27.0,Raw silk (not thrown),3.0,4.0
2614,19.738943,6.0036182,27.0,Silk worm cocoons and silk waste,3.0,4.0
2631,9.044022,3.2603261,28.0,"Raw cotton, excluding linters, not carded or combed",5.0,2.0
2632,9.421668,3.6415453,28.0,Cotton linters,5.0,2.0
2633,6.835185,10.643333,66.0,"Cotton waste, not carded or combed",5.0,12.0
2634,6.7878065,10.304703,66.0,"Cotton, carded or combed",5.0,12.0
2640,19.724897,5.4021063,30.0,"Jute, other textile bast fibres, nes, raw, processed but not spun",5.0,4.0
2651,16.81988,-3.568505,29.0,"Flax and ramie, flax tow, ramie noils, and waste",2.0,0.0
2652,16.694386,-3.2742574,29.0,"True hemp, raw or processed but not spun, its tow and waste",2.0,0.0
2654,19.942978,5.742793,30.0,"Sisal, agave fibres, raw or processed but not spun, and waste",5.0,4.0
2655,20.201355,6.067304,30.0,"Manila hemp, raw or processed but not spun, its tow and waste",5.0,4.0
2659,20.14859,5.4366035,30.0,"Vegetable textile fibres, nes, and waste",5.0,4.0
2665,0.24096656,10.663971,31.0,"Discontinuous synthetic fibres, not carded or combed",3.0,10.0
2666,0.4002998,10.413601,31.0,Continuous filament tow for synthetic (discontinuous) fibres,3.0,10.0
2667,-0.025435448,10.67447,31.0,"Discontinuous synthetic fibres, carded or combed",3.0,10.0
2671,-3.5043108,1.5877944,95.0,Regenerated fibre suitable for spinning,29.0,15.0
2672,6.613674,10.110964,67.0,"Waste of man-made fibres, not carded or combed",7.0,12.0
2681,14.428068,1.7496456,32.0,Wool greasy or fleece-washed of sheep or lambs,3.0,5.0
2682,14.017153,1.5880915,32.0,"Wool degreased, uncombed of sheep or lambs",3.0,5.0
2683,8.380833,-5.8300557,33.0,"Fine animal hair, not carded or combed",4.0,14.0
2685,15.757237,-4.602446,3.0,"Horsehair and other coarse animal hair, not carded or combed",9.0,0.0
2686,8.739365,-5.7839065,33.0,"Waste of sheep's or lambs' wool, or of other animal hair, nes",4.0,14.0
2687,9.0164995,-5.423742,33.0,"Sheep's or lambs' wool, or of other animal hair, carded or combed",4.0,14.0
2690,10.888822,7.1384506,73.0,Old clothing and other old textile articles; rags,7.0,17.0
27,19.462946,5.6467013,,,,
2711,6.467983,-6.770544,113.0,"Animal or vegetable fertilizer, crude",18.0,14.0
2712,9.2584915,-5.4387574,49.0,Natural sodium nitrate,6.0,14.0
2713,7.786193,-5.0639625,53.0,"Natural calcium phosphates, natural aluminium, etc",7.0,14.0
2714,7.306021,-4.851095,53.0,"Potassium salts, natural, crude",7.0,14.0
2731,9.753843,2.5212486,34.0,"Building and monumental (dimension) stone, roughly squared, split",5.0,3.0
2732,8.506598,-6.515248,88.0,"Gypsum, plasters, limestone flux and calcareous stone",21.0,14.0
2733,0.5369754,11.615527,57.0,"Sands, excluding metal-bearing sands",11.0,10.0
2734,8.776901,-6.5334234,88.0,"Pebbles, gravel, crushed or broken stone, etc",21.0,14.0
2741,18.360435,12.534086,43.0,"Sulphur (other than sublimed, precipitated or colloidal)",4.0,8.0
2742,9.056092,-4.981256,106.0,"Iron pyrites, unroasted",12.0,14.0
2771,9.68257,7.307482,80.0,Industrial diamonds,2.0,17.0
2772,-0.9998617,3.3309186,91.0,Other natural abrasives,10.0,15.0
2782,9.398452,2.7437432,34.0,"Clay and other refractory minerals, nes",5.0,3.0
2783,9.350045,-5.226461,49.0,Common salt; pure sodium chloride; salt liquors; sea water,6.0,14.0
2784,21.10837,10.697475,85.0,Asbestos,4.0,7.0
2785,9.111405,2.4407153,34.0,"Quartz, mica, felspar, fluorspar, cryolite and chiolite",5.0,3.0
2786,8.930042,-4.077581,82.0,"Slag, scalings, dross and similar waste, nes",13.0,14.0
2789,9.468671,2.2930548,34.0,"Minerals, crude, nes",5.0,3.0
28,9.20291,3.7821476,,,,
2814,21.305056,8.87079,35.0,Roasted iron pyrites,3.0,7.0
2815,21.21909,9.268686,35.0,"Iron ore and concentrates, not agglomerated",3.0,7.0
2816,21.54579,9.275889,35.0,Iron ore agglomerates,3.0,7.0
2820,8.124138,-4.741998,38.0,Waste and scrap metal of iron or steel,3.0,14.0
2860,20.403976,9.285078,51.0,Ores and concentrates of uranium and thorium,3.0,7.0
2871,15.967896,7.611049,37.0,Copper ore and concentrates; copper matte; cement copper,4.0,13.0
2872,20.88472,11.000656,85.0,"Nickel ores and concentrates; nickel mattes, etc",4.0,7.0
2873,22.21179,10.592006,36.0,Aluminium ores and concentrates (including alumina),1.0,6.0
2874,15.66226,7.92553,37.0,Lead ores and concentrates,4.0,13.0
2875,15.981787,8.156302,37.0,Zinc ores and concentrates,4.0,13.0
2876,17.823038,7.0709796,86.0,Tin ores and concentrates,3.0,9.0
2877,9.2227125,1.9807318,34.0,Manganese ore and concentrates,5.0,3.0
2879,16.197409,7.851952,37.0,Ores and concentrates of other non-ferrous base metals,4.0,13.0
2881,7.9956746,-4.9193163,38.0,"Ash and residues, nes",3.0,14.0
2882,8.358631,-5.0454183,38.0,"Other non-ferrous base metal waste and scrap, nes",3.0,14.0
2890,16.988605,8.678855,84.0,"Ores and concentrates of precious metals, waste, scrap",4.0,13.0
29,16.25893,-3.993356,,,,
2911,13.119169,1.372362,21.0,"Bones, ivory, horns, coral, shells and similar products",3.0,5.0
2919,15.956339,-4.991651,3.0,"Other materials of animal origin, nes",9.0,0.0
2922,18.976622,5.411526,17.0,"Natural gums, resins, lacs and balsams",7.0,4.0
2923,10.31168,8.06434,76.0,Vegetable plaiting materials,4.0,17.0
2924,18.62424,4.7976255,17.0,Plants and parts of trees used in perfumery; in pharmacy; etc,7.0,4.0
2925,10.143614,3.083242,39.0,"Seeds, fruits and spores, nes, for planting",4.0,3.0
2926,9.694885,2.9056327,39.0,"Live plants, bulbs, etc",4.0,3.0
2927,10.296418,3.411922,39.0,Cut flowers and foliage,4.0,3.0
2929,18.311752,5.2147236,17.0,"Other materials of vegetable origin, nes",7.0,4.0
3,16.28481,-4.539063,,,,
30,19.72273,4.978721,,,,
31,3.3275228,11.1118765,,,,
32,13.656426,1.5719247,,,,
3221,21.86878,9.063063,40.0,"Anthracite, not agglomerated",3.0,7.0
3222,21.877773,9.527559,40.0,"Other coal, not agglomerated",3.0,7.0
3223,20.792,10.201806,41.0,"Lignite, not agglomerated",3.0,7.0
3224,20.985065,10.384135,41.0,"Peat, not agglomerated",3.0,7.0
3231,21.520851,10.916914,41.0,"Briquettes, ovoids, from coal, lignite or peat",3.0,7.0
3232,22.257004,9.626348,40.0,"Coke and semi-coke of coal, of lignite or peat; retort carbon",3.0,7.0
33,8.75614,-5.582627,,,,
3330,18.316422,11.816044,43.0,Crude petroleum and oils obtained from bituminous materials,4.0,8.0
3341,17.738276,11.442119,42.0,Gasoline and other light oils,6.0,8.0
3342,17.432087,11.125957,42.0,Kerosene and other medium oils,6.0,8.0
3343,17.48563,11.761263,42.0,Gas oils,6.0,8.0
3344,16.944212,11.2518425,42.0,"Fuel oils, nes",6.0,8.0
3345,18.133778,11.431515,42.0,"Lubricating petroleum oils, and preparations, nes",6.0,8.0
3351,0.9334934,10.697589,46.0,Petroleum jelly and mineral waxes,7.0,10.0
3352,0.94930625,11.02251,46.0,Mineral tars and products,7.0,10.0
3353,-0.49270606,1.3152026,89.0,"Mineral tar pitch, pitch coke",4.0,15.0
3354,17.212713,11.560266,42.0,"Petroleum bitumen, petroleum coke and bituminous mixtures, nes",6.0,8.0
34,9.759243,2.0667572,,,,
3413,18.137579,12.203941,43.0,"Petroleum gases and other gaseous hydrocarbons, nes, liquefied",4.0,8.0
3414,17.785295,12.506703,43.0,"Petroleum gases, nes, in gaseous state",4.0,8.0
3415,2.4203658,11.948984,94.0,"Coal gas, water gas and similar gases",30.0,10.0
35,-8.341527,1.9515703,,,,
3510,1.6174788,0.23213516,92.0,Electric current,41.0,15.0
36,-8.0534525,2.376147,,,,
37,16.520992,7.833003,,,,
38,8.154999,-5.1406817,,,,
39,9.981145,2.7758713,,,,
4,16.659376,-4.2117515,,,,
40,-8.469911,1.645431,,,,
41,-8.530104,2.5432966,,,,
4111,22.429077,5.5100293,6.0,Fat and oils of fish and marine mammals,8.0,1.0
4113,15.582153,-5.16285,3.0,"Animals oils, fats and greases, nes",9.0,0.0
42,-2.4622536,15.173447,,,,
4232,8.415249,4.037908,44.0,Soya bean oil,10.0,2.0
4233,8.167011,4.3889284,44.0,Cotton seed oil,10.0,2.0
4234,8.728721,3.4690359,44.0,Groundnut (peanut) oil,10.0,2.0
4235,10.663182,1.4319018,12.0,Olive oil,15.0,3.0
4236,8.2690115,3.3888834,44.0,Sunflower seed oil,10.0,2.0
4239,16.968674,-3.0367324,2.0,"Other fixed vegetable oils, soft",6.0,0.0
4241,0.14502692,12.121789,57.0,Linseed oil,11.0,10.0
4242,16.95683,6.4468017,45.0,Palm oil,3.0,9.0
4243,17.310158,7.665295,22.0,Coconut (copra) oil,2.0,9.0
4244,17.316706,6.3242035,45.0,Palm kernel oil,3.0,9.0
4245,19.55482,6.3824334,27.0,Castor oil,3.0,4.0
4249,8.905065,3.739124,44.0,"Fixed vegetable oils, nes",10.0,2.0
43,-2.1306171,14.899637,,,,
4311,-0.709471,12.254378,55.0,Processed animal and vegetable oils,19.0,10.0
4312,8.451663,3.7393644,44.0,Hydrogenated animal or vegetable oils and fats,10.0,2.0
4313,8.009759,3.9470975,44.0,"Fatty acids, acid oils, and residues; degras",10.0,2.0
4314,9.416117,3.3402042,28.0,Waxes of animal or vegetable origin,5.0,2.0
44,8.7146635,4.4577904,,,,
45,17.133461,6.787658,,,,
46,3.485882,10.831377,,,,
47,1.9596065,10.940823,,,,
48,1.167846,2.528877,,,,
49,9.270597,-5.869946,,,,
5,16.662073,-3.9664185,,,,
50,-8.783995,1.6296523,,,,
51,-9.20498,1.5110748,,,,
5111,0.66161966,10.986483,46.0,Acyclic hydrocarbons,7.0,10.0
5112,0.6890147,10.180963,46.0,Cyclic hydrocarbons,7.0,10.0
5113,0.67278767,10.588355,46.0,Halogenated derivatives of hydrocarbons,7.0,10.0
5114,-2.0890737,2.6430297,48.0,"Hydrocarbons derivatives, nonhaloganeted",8.0,15.0
5121,-0.80067706,10.8834095,59.0,"Acyclic alcohols, and their derivatives",5.0,10.0
5122,-2.5916464,3.3802807,48.0,"Cyclic alcohols, and their derivatives",8.0,15.0
5123,-2.3669033,3.1535077,48.0,"Phenols and phenol-alcohols, and their derivatives",8.0,15.0
5137,-2.157567,2.9141016,48.0,Monocarboxylic acids and their derivatives,8.0,15.0
5138,7.111887,9.458698,67.0,Polycarboxylic acids and their derivatives,7.0,12.0
5139,-1.3520362,10.834955,47.0,"Oxygen-function acids, and their derivatives",14.0,10.0
5145,-1.1584576,10.625692,47.0,Amine-function compounds,14.0,10.0
5146,-0.7970536,10.24415,47.0,Oxygen-function amino-compounds,14.0,10.0
5147,-0.88233733,10.510575,47.0,Amide-function compounds; excluding urea,14.0,10.0
5148,-0.95914006,9.968872,47.0,Other nitrogen-function compounds,14.0,10.0
5154,-1.695969,10.536306,47.0,Organo-sulphur compounds,14.0,10.0
5155,-2.0131216,10.820095,47.0,Other organo-inorganic compounds,14.0,10.0
5156,-1.4689262,10.342636,47.0,Heterocyclic compound; nucleic acids,14.0,10.0
5157,-2.0648754,10.308052,47.0,"Sulphonamides, sultones and sultams",14.0,10.0
5161,0.39735317,9.942877,46.0,"Ethers, epoxides, acetals",7.0,10.0
5162,-2.3779528,2.6702156,48.0,"Aldehyde, ketone and quinone-function compounds",8.0,15.0
5163,2.3265162,11.463797,94.0,"Inorganic esters, their salts and derivatives",30.0,10.0
5169,-0.6748574,11.067767,59.0,"Organic chemicals, nes",5.0,10.0
52,7.4609404,-6.8084927,,,,
5221,8.702433,-6.246568,88.0,Chemical elements,21.0,14.0
5222,7.5156527,-5.0258956,53.0,Inorganic acids and oxygen compounds of non-metals,7.0,14.0
5223,-1.826772,2.7726915,48.0,Halogen and sulphur compounds of non-metals,8.0,15.0
5224,-2.5561383,2.8523374,48.0,"Metallic oxides of zinc, iron, lead, chromium etc",8.0,15.0
5225,-0.33899617,10.774127,59.0,"Inorganic bases and metallic oxides, hydroxides and peroxides",5.0,10.0
5231,9.587279,-5.5507293,49.0,Metallic salts and peroxysalts of inorganic acids,6.0,14.0
5232,9.589477,-6.0283384,49.0,Metallic salts and peroxysalts of inorganic acids,6.0,14.0
5233,9.980301,-5.849065,49.0,Salts of metallic acids; compounds of precious metals,6.0,14.0
5239,20.36613,9.690082,50.0,"Inorganic chemical products, nes",3.0,7.0
5241,20.738457,8.925099,51.0,"Radio-active chemical elements, isotopes etc",3.0,7.0
5249,0.61406493,11.92737,57.0,Other radio-active and associated materials,11.0,10.0
53,7.7890944,-5.3269677,,,,
5311,-1.2098871,3.516877,91.0,"Synthetic organic dyestuffs, etc, natural indigo and colour lakes",10.0,15.0
5312,-1.4723035,3.4220586,91.0,"Synthetic organic luminophores, indigo, lakes",10.0,15.0
5322,9.592662,-5.763792,49.0,"Dyeing, tanning extracts, tannins and their derivatives",6.0,14.0
5323,-0.32992363,10.271214,58.0,Synthetic tanning substances; tanning preparations,6.0,10.0
5331,0.960876,11.400785,57.0,Other colouring matter; inorganic products use as luminophores,11.0,10.0
5332,-1.0199169,11.296101,55.0,Printing inks,19.0,10.0
5334,7.463135,-7.6162233,52.0,Varnishes and lacquers; distempers etc,17.0,14.0
5335,7.0198493,-7.241753,52.0,"Glazes, driers, putty etc",17.0,14.0
54,1.7047765,1.5994264,,,,
5411,-1.617937,10.921527,47.0,Provitamins and vitamins,14.0,10.0
5413,-1.7102708,10.028245,47.0,"Antibiotics, not put up as medicaments",14.0,10.0
5414,-1.2047229,10.301166,47.0,"Vegetable alkaloids and derivatives, not put up as medicaments",14.0,10.0
5415,-1.3203288,9.857226,47.0,"Hormones, natural, or reproduce by synthesis, in bulk",14.0,10.0
5416,-1.1666318,11.771803,55.0,"Glycosides, glands, antisera, vaccines and similar products",19.0,10.0
5417,6.7201233,-7.6942835,113.0,Medicaments (including veterinary medicaments),18.0,14.0
5419,6.595308,-7.3164477,113.0,"Pharmaceutical goods, other than medicaments",18.0,14.0
55,2.703709,11.442122,,,,
